,Server_Utilization_Rate_Percent,IT_Equipment_Energy_kWh,Total_Facility_Energy_kWh,PUE_Power_Usage_Effectiveness,DCiE_Data_Center_Infrastructure_Efficiency_Percent,Grid_Carbon_Intensity_gCO2eq_per_kWh,Scope_2_Emissions_kgCO2eq,CUE_Carbon_Usage_Effectiveness_kgCO2eq_per_kWh,WUE_Water_Usage_Effectiveness_L_per_kWh,ERF_Energy_Reuse_Factor,Scope_1_Emissions_kgCO2eq,Scope_3_Emissions_Embodied_Carbon_kgCO2eq,E_Waste_Diversion_Rate_Percent,VM_Density_VMs_per_Host,ITEU_IT_Equipment_Utilization_Percent,Compute_Density_kW_per_Rack,Network_Equipment_Power_Percent_of_IT,ASHRAE_Thermal_Guideline_Conformance_Percent,Delta_T_Across_Racks_C,Cooling_System_Efficiency_kW_per_Ton,CFE_24_7_Carbon_Free_Energy_Score_Percent,Power_Factor,UPS_System_Efficiency_Percent,Server_Refresh_Cycle_Years,Circular_Economy_Percentage,Waste_Diversion_Rate_Percent,Scope_3_Water_Processing_Emissions_kgCO2eq
20/07/25 0:00,55.45,286.47,430.2,1.5,66.59,192.25,82.71,0.29,0.19,0.05,0,4.28,99.8,6,52.68,14.77,13.73,100,12.22,0.25,74.37,0.98,98.58,5.5,22,92,0.03
20/07/25 0:15,55.06,282.38,424.15,1.5,66.57,198.49,84.19,0.3,0.2,0.06,0,4.28,99.8,5,52.3,14.75,12.57,100,12.2,0.25,73.53,0.99,98.78,5.5,22,92,0.03
20/07/25 0:30,51.8,273.05,410.89,1.5,66.45,215.18,88.41,0.32,0.21,0.06,0,4.28,99.8,6,49.21,14.59,13.06,100,12.07,0.25,71.31,0.99,98.65,5.5,22,92,0.03
20/07/25 0:45,55.33,282.63,426.32,1.51,66.29,209.98,89.52,0.32,0.21,0.06,0,4.28,99.8,4,52.56,14.77,13.07,100,12.21,0.25,72,0.99,98.98,5.5,22,92,0.03
20/07/25 1:00,54.98,286.43,432.27,1.51,66.26,204.79,88.52,0.31,0.2,0.05,0,4.28,99.8,6,52.23,14.75,12.99,100,12.2,0.25,72.7,0.99,98.65,5.5,22,92,0.03
20/07/25 1:15,57.28,297.21,444.26,1.49,66.9,226.19,100.49,0.34,0.2,0.06,0,4.28,99.8,6,54.41,14.86,12.81,100,12.29,0.25,69.84,0.99,98.64,5.5,22,92,0.03
20/07/25 1:30,54.01,284.74,425.72,1.5,66.88,240.09,102.21,0.36,0.2,0.05,0,4.28,99.8,6,51.31,14.7,13.26,100,12.16,0.25,67.99,0.98,98.92,5.5,22,92,0.03
20/07/25 1:45,54.55,277.94,416.85,1.5,66.68,239.38,99.79,0.36,0.18,0.05,0,4.28,99.8,6,51.82,14.73,13.78,100,12.18,0.25,68.08,0.99,98.53,5.5,22,92,0.03
20/07/25 2:00,59.25,301.82,448.85,1.49,67.24,232.1,104.18,0.35,0.21,0.05,0,4.28,99.8,5,56.28,14.96,12.55,100,12.37,0.25,69.05,0.98,98.88,5.5,22,92,0.03
20/07/25 2:15,58.27,299.84,446.31,1.49,67.18,226.54,101.11,0.34,0.2,0.05,0,4.28,99.8,4,55.36,14.91,12.07,100,12.33,0.25,69.79,0.99,98.76,5.5,22,92,0.03
20/07/25 2:30,58.61,301.61,449.54,1.49,67.09,234.12,105.25,0.35,0.2,0.05,0,4.28,99.8,5,55.68,14.93,12.06,100,12.34,0.25,68.78,0.98,98.82,5.5,22,92,0.03
20/07/25 2:45,60.63,313.97,464.95,1.48,67.53,224.3,104.29,0.33,0.21,0.06,0,4.28,99.8,5,57.6,15.03,13.18,100,12.43,0.25,70.09,0.99,98.76,5.5,22,92,0.03
20/07/25 3:00,57.35,292.98,437.42,1.49,66.98,239.44,104.74,0.36,0.22,0.05,0,4.28,99.8,5,54.48,14.87,13.86,100,12.29,0.25,68.07,0.99,98.79,5.5,22,92,0.03
20/07/25 3:15,61.19,313.99,467.98,1.49,67.09,237.48,111.14,0.35,0.2,0.05,0,4.28,99.8,6,58.13,15.06,12.64,100,12.45,0.25,68.34,0.98,98.78,5.5,22,92,0.03
20/07/25 3:30,61.48,320.06,474.01,1.48,67.52,272.71,129.27,0.4,0.22,0.05,0,4.28,99.8,5,58.41,15.07,13.27,100,12.46,0.25,63.64,0.98,98.72,5.5,22,92,0.03
20/07/25 3:45,61.12,313.34,463.06,1.48,67.67,257.03,119.02,0.38,0.18,0.06,0,4.28,99.8,5,58.06,15.06,12.02,100,12.44,0.25,65.73,0.99,98.52,5.5,22,92,0.03
